PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED
2017-10-01,2017-10-31,30,national,11,1400,False,National,National,U.S.,US,Townhouse,13,245727.0,0.01006757346,0.05986101906,248639.0,-0.03783774413,0.0450373391,152.0,-0.004138183784,0.05416611829,154.0,-0.03100397533,0.04275952714,47212.0,-0.02289941711,0.0725388763,54998.0,0.1040397306,0.1611024955,53384.0,-0.02478447313,0.1089431096,127905.0,-0.03372629932,-0.06372997188,2.709171485,-0.03035566478,-0.3943047056,41.0,1.0,-6.0,0.9869160275,-0.001062385724,0.003622075129,0.2455117551,-0.008502514207,0.01812556013,0.1004930522,0.005866730991,0.001686179538,0.2976432152,-0.01625597512,0.03076417386,,,2025-10-13 14:19:57.377 Z
2019-04-01,2019-04-30,30,national,11,1400,False,National,National,U.S.,US,Single Units Only,-2,287961.0,0.0184790639,0.02786665808,315916.0,0.0042969673,0.03015626757,157.0,0.02268582337,0.02987251416,165.0,0.005130053685,0.03338852054,541589.0,0.1247333123,0.02340132994,725287.0,0.08367302282,0.03672472156,771455.0,0.09847876323,0.02214502876,1598895.0,0.04780246332,0.07553400206,2.952228768,-0.216755995,0.1430987529,45.0,-8.0,5.0,0.9834602861,0.00286910015,-0.004130278898,0.2400702527,0.02650738324,-0.04190113064,0.1340365349,0.006902952669,0.01641849345,0.4222474313,0.03411769818,-0.02329980635,,,2025-10-13 14:19:57.377 Z
2017-10-01,2017-10-31,30,national,11,1400,False,National,National,U.S.,US,All Residential,-1,267628.0,-0.002854852066,0.06701030487,273421.0,-0.03704752691,0.05437750619,146.0,-0.0005121962153,0.06918468654,150.0,-0.01890308637,0.0670419392,525052.0,-0.01609787031,0.04732986521,612008.0,0.07184431919,0.0879577565,577280.0,-0.02369249314,0.05924487419,1664688.0,-0.04362386004,-0.07893677836,3.17052198,-0.09125254368,-0.4346402716,48.0,2.0,-5.0,0.9812396043,-0.001277647776,0.002979285023,0.2319754737,-0.01131414198,0.01591097019,0.1332271641,0.004200459173,0.008319105121,0.2946195993,-0.006309730241,0.02238438391,,,2025-10-13 14:19:57.377 Z
2016-02-01,2016-02-29,30,national,11,1400,False,National,National,U.S.,US,Townhouse,13,212642.0,0.03961317303,0.05119924777,231908.0,0.04653038786,0.05585690277,134.0,0.0211515185,0.04589287905,142.0,0.02496303951,0.03810049698,32835.0,0.1085411329,0.1678822349,47489.0,0.1774126086,0.1045882562,50854.0,0.1926081895,0.1008364212,127832.0,0.02281639408,-0.05439024564,3.893208072,-0.3262992722,-0.9151269975,63.0,0.0,-6.0,0.9772738143,0.0002850785124,0.002246773699,0.2076735805,0.007381317876,0.02184297851,0.1282574824,0.0473205525,0.04714029656,0.2870800006,0.06785578953,0.05728435417,,,2025-10-13 14:19:57.377 Z
2025-07-01,2025-07-31,30,national,11,1400,False,National,National,U.S.,US,Townhouse,13,376318.0,-0.01572927655,-0.005500133515,376338.0,-0.03123605678,-0.0007159835409,231.0,-0.008521739667,-0.00398660654,231.0,-0.01950043076,-0.01000843484,47021.0,-0.07969536267,-0.02250390365,50486.0,-0.04115909151,-0.02046038079,60724.0,-0.02349399683,0.01997000669,156059.0,0.004178768943,0.2479522425,3.318924903,0.2772135328,0.719277235,44.0,2.0,11.0,0.9919095137,-0.001826609459,-0.00667389916,0.2766265586,-0.0207518434,-0.05456564471,0.1959907759,0.009454163885,0.02498175599,0.3392833547,-0.04117903389,-0.07872893804,,,2025-10-13 14:19:57.377 Z
2018-11-01,2018-11-30,30,national,11,1400,False,National,National,U.S.,US,All Residential,-1,278475.0,0.005859117151,0.03112126698,282546.0,-0.01450639953,0.04174851754,152.0,-0.006823183345,0.03403393862,155.0,-0.02009929324,0.04407822448,478699.0,-0.0905357447,-0.03072284697,487391.0,-0.1650869958,-0.06925396677,469354.0,-0.2341680329,0.0130610276,1624800.0,-0.05884862208,0.06293062042,3.394200988,0.1142775386,0.2990587395,50.0,3.0,0.0,0.978486251,-0.001700875629,-0.001900489663,0.2049812244,-0.01663064141,-0.02035224803,0.142804642,-0.0340226632,0.03289666533,0.2602758694,-0.03575979533,-0.01289880811,,,2025-10-13 14:19:57.377 Z
2021-01-01,2021-01-31,30,national,11,1400,False,National,National,U.S.,US,Single Family Residential,6,344002.0,-0.006201827279,0.1642425142,359673.0,0.05244166629,0.1309938988,175.0,0.006188759466,0.1553911449,184.0,0.03871607482,0.1485605383,329324.0,-0.3240298017,0.1245445782,427978.0,0.0918295301,0.009743803924,364917.0,0.2269658378,-0.09892230381,564729.0,-0.06501298313,-0.4461401169,1.71481365,0.4750499932,-1.766905196,35.0,3.0,-26.0,0.9952227726,-0.0001326995656,0.01832638196,0.3550389464,-0.001176954358,0.162533578,0.08171167292,0.001855832317,-0.04432935384,0.4646684237,0.05010864725,0.1667756802,,,2025-10-13 14:19:57.377 Z
2022-10-01,2022-10-31,30,national,11,1400,False,National,National,U.S.,US,Single Units Only,-2,398498.0,-0.0153556195,0.05121345973,400409.0,-0.02818992777,0.04684681914,222.0,-0.00617472052,0.06091527447,223.0,-0.0144521425,0.05559066595,432126.0,-0.1238264859,-0.2800502785,448020.0,-0.1060596025,-0.3330284718,482808.0,-0.1331561266,-0.2105747042,1210936.0,-0.01722233159,0.3032645065,2.802273469,0.3039690491,1.254240822,37.0,2.0,13.0,0.9890216693,-0.003785248057,-0.0189930321,0.2890362561,-0.03184928086,-0.172340053,0.2135049171,0.01260557084,0.0982622222,0.3645416705,-0.01539503271,-0.14546557,,,2025-10-13 14:19:57.377 Z
2024-01-01,2024-01-31,30,national,11,1400,False,National,National,U.S.,US,Single Family Residential,6,417071.0,-0.001749781527,0.04742182014,446191.0,0.09927557657,0.05815970963,218.0,0.004712944546,0.05544827935,230.0,0.05872282627,0.05879696607,222837.0,-0.1952467747,0.03640850592,324082.0,0.2386309165,-0.03335145202,318919.0,0.4809454229,0.07856739679,743351.0,-0.002014482249,0.001238823632,3.335846111,0.6458943339,-0.1171754881,51.0,6.0,-3.0,0.9837886019,-0.002197596634,0.00566725257,0.2418127669,-0.01629524824,0.02914873164,0.1537823392,0.01837912331,-0.01849426114,0.3124943456,0.04285599189,0.01175985541,,,2025-10-13 14:19:57.377 Z
2013-09-01,2013-09-30,30,national,11,1400,False,National,National,U.S.,US,Single Units Only,-2,210307.0,-0.0307215846,0.1214872608,217981.0,0.01299586303,0.1123005992,116.0,-0.01681357248,0.1178142035,121.0,0.02124236951,0.1142758596,436819.0,-0.1671219885,0.1418943682,491898.0,-0.1374316931,0.1125943112,541757.0,-0.1021402673,0.1510644179,2033603.0,-0.002679974934,-0.01736793703,4.655485659,0.767614624,-0.7545483256,65.0,3.0,-16.0,0.9758884737,-0.00258356926,0.005908313425,0.2201179783,-0.01394883887,0.01337930796,0.06795806687,0.005355029806,0.01244991089,0.1586263173,-0.005641519334,0.01901456863,,,2025-10-13 14:19:57.377 Z
