Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Atlanta, GA metro area	January 2012	$85K	-8.6%	-16.7%	5,167	-18.9%	37.1%	10,367	32.5%	-14.5%	43,111	-1.1%	-30.5%	76	-3	-19	95.4%	0.2%	1.4%
Atlanta, GA metro area	February 2012	$85K	-0.2%	-15.2%	5,918	14.5%	30.7%	10,535	1.6%	-14.8%	41,945	-2.7%	-32.2%	81	5	-12	95.4%	0.0%	1.1%
Atlanta, GA metro area	March 2012	$100K	17.6%	-2.7%	7,282	23.0%	12.0%	12,400	17.7%	-18.9%	42,168	0.5%	-32.6%	77	-4	-17	96.1%	0.7%	1.6%
Atlanta, GA metro area	April 2012	$105K	5.3%	-0.2%	6,927	-4.9%	9.2%	11,851	-4.4%	-11.7%	42,123	-0.1%	-32.9%	63	-14	-23	96.6%	0.5%	1.7%
Atlanta, GA metro area	May 2012	$110K	4.8%	5.3%	7,768	12.1%	12.6%	11,119	-6.2%	-11.8%	41,329	-1.9%	-33.2%	60	-3	-23	97.0%	0.3%	2.2%
Atlanta, GA metro area	June 2012	$115K	4.5%	7.3%	8,222	5.8%	7.4%	10,728	-3.5%	-15.1%	40,269	-2.6%	-33.0%	58	-2	-26	97.3%	0.3%	2.4%
Atlanta, GA metro area	July 2012	$118K	2.2%	7.2%	7,556	-8.1%	11.9%	9,978	-7.0%	-10.4%	38,821	-3.6%	-32.6%	60	2	-27	97.4%	0.1%	2.4%
Atlanta, GA metro area	August 2012	$115K	-2.1%	11.7%	8,050	6.5%	9.1%	10,027	0.5%	-14.5%	36,773	-5.3%	-33.4%	62	2	-25	97.5%	0.1%	2.7%
Atlanta, GA metro area	September 2012	$115K	-0.1%	22.2%	6,559	-18.5%	-1.9%	8,516	-15.1%	-17.6%	35,263	-4.1%	-32.7%	62	0	-25	97.2%	-0.3%	2.5%
Atlanta, GA metro area	October 2012	$112K	-3.0%	21.2%	7,004	6.8%	9.8%	9,303	9.2%	-10.9%	34,239	-2.9%	-32.2%	62	0	-24	97.6%	0.4%	2.9%
Atlanta, GA metro area	November 2012	$120K	7.5%	26.2%	6,416	-8.4%	12.0%	7,415	-20.3%	-16.1%	32,109	-6.2%	-33.2%	64	2	-17	97.5%	0.0%	2.4%
Atlanta, GA metro area	December 2012	$127K	6.3%	37.0%	6,285	-2.0%	-1.3%	6,140	-17.2%	-21.5%	29,527	-8.0%	-32.2%	62	-2	-17	97.7%	0.2%	2.5%
Atlanta, GA metro area	January 2013	$117K	-8.2%	37.6%	5,192	-17.4%	0.5%	9,489	54.5%	-8.5%	29,446	-0.3%	-31.7%	64	2	-12	97.4%	-0.3%	2.0%
Atlanta, GA metro area	February 2013	$127K	8.5%	49.8%	5,656	8.9%	-4.4%	9,471	-0.2%	-10.1%	29,028	-1.4%	-30.8%	63	-1	-18	98.1%	0.7%	2.7%
Atlanta, GA metro area	March 2013	$142K	11.7%	42.3%	7,019	24.1%	-3.6%	11,561	22.1%	-6.8%	30,240	4.2%	-28.3%	52	-11	-25	98.2%	0.1%	2.1%
Atlanta, GA metro area	April 2013	$150K	5.7%	42.9%	7,169	2.1%	3.5%	11,841	2.4%	-0.1%	31,143	3.0%	-26.1%	42	-10	-21	98.3%	0.1%	1.7%
Atlanta, GA metro area	May 2013	$160K	6.7%	45.5%	8,503	18.6%	9.5%	12,168	2.8%	9.4%	32,356	3.9%	-21.7%	39	-3	-21	98.2%	0.0%	1.3%
Atlanta, GA metro area	June 2013	$168K	4.9%	46.0%	8,002	-5.9%	-2.7%	11,963	-1.7%	11.5%	34,044	5.2%	-15.5%	40	1	-18	98.3%	0.1%	1.0%
Atlanta, GA metro area	July 2013	$170K	1.3%	44.7%	8,281	3.5%	9.6%	11,916	-0.4%	19.4%	34,999	2.8%	-9.8%	39	-1	-21	98.2%	-0.1%	0.8%
Atlanta, GA metro area	August 2013	$167K	-2.0%	44.9%	7,973	-3.7%	-1.0%	11,212	-5.9%	11.8%	35,302	0.9%	-4.0%	40	1	-22	98.0%	-0.2%	0.5%
Atlanta, GA metro area	September 2013	$159K	-4.6%	38.4%	6,787	-14.9%	3.5%	10,351	-7.7%	21.5%	35,913	1.7%	1.8%	42	2	-20	97.8%	-0.2%	0.6%
Atlanta, GA metro area	October 2013	$156K	-2.2%	39.5%	6,889	1.5%	-1.6%	10,857	4.9%	16.7%	36,000	0.2%	5.1%	45	3	-17	97.4%	-0.4%	-0.1%
Atlanta, GA metro area	November 2013	$154K	-1.3%	28.0%	5,974	-13.3%	-6.9%	8,542	-21.3%	15.2%	35,429	-1.6%	10.3%	49	4	-15	97.1%	-0.3%	-0.4%
